Feature,Importance
V14,0.17303405138310177
V17,0.15003015423004012
V12,0.1018239164571449
V10,0.08800525462075026
V16,0.0686962783532508
V4,0.029494278271373603
V11,0.028393279436753075
V9,0.02832155032991706
V7,0.02664679234412565
V2,0.026051790777301468
V26,0.024653583089540326
V3,0.024248188849443374
V18,0.02146108972060714
V8,0.016352801800679332
V20,0.01563829374770391
V21,0.015310599242120613
V1,0.014291801041891643
V27,0.014164868755587574
V22,0.014076294812279112
V6,0.013094687523425965
V19,0.012868739311982092
V5,0.01246732633281029
V15,0.01182017617165072
Amount,0.011295912896401174
V28,0.011145252145802493
Time,0.010911894839676138
V24,0.009976569789108245
V13,0.009833048086527098
V25,0.009696352243919421
V23,0.006195173395084595
